Timestamp,Edge Device 1,Edge Device 2,Edge Device 3,Edge Device 4,Edge Device 5,Edge Device 6,Edge Device 7,Edge Device 8,Edge Device 9,Edge Device 10
1804010000,147,504,27,103,1,57,46,114,67,4
1804010001,159,501,26,100,1,53,45,113,69,5
1804010002,157,493,26,99,1,55,45,114,71,5
1804010003,153,492,29,104,1,60,43,119,75,5
1804010004,160,470,27,96,1,53,40,118,82,5
1804010005,157,488,28,94,1,58,41,115,74,4
1804010006,156,494,29,102,1,61,42,122,75,4
1804010007,160,499,29,104,1,63,42,115,73,4
1804010008,164,483,30,109,1,65,42,108,71,4
1804010009,163,477,27,110,1,66,41,108,73,4
1804010010,156,490,28,102,1,66,42,111,64,4
1804010011,159,489,26,102,1,56,44,111,63,4
1804010012,163,486,26,98,1,56,43,115,48,4
1804010013,163,495,25,100,1,56,48,124,45,4
1804010014,166,504,27,96,1,63,48,121,49,4
1804010015,164,493,27,98,1,63,49,117,51,4
1804010016,161,483,26,95,1,66,47,120,58,5
1804010017,157,458,26,98,1,56,49,124,61,6
1804010018,160,465,26,91,1,56,49,125,57,6
1804010019,147,456,26,92,2,60,48,122,55,6
1804010020,147,448,25,94,2,63,49,122,55,7
1804010021,143,444,23,99,2,52,49,127,52,7
1804010022,138,433,23,94,2,55,48,125,51,6
1804010023,138,430,24,91,2,55,48,131,52,5
1804010024,134,429,24,93,1,53,46,130,58,5
1804010025,135,420,25,90,1,56,42,126,62,6
1804010026,130,420,23,85,1,55,43,123,63,6
1804010027,132,407,22,86,1,54,44,126,57,6
1804010028,142,402,22,95,1,58,48,127,52,6
1804010029,144,405,21,93,1,59,49,117,48,6
1804010030,143,402,21,91,1,57,49,127,43,5
1804010031,147,392,21,90,1,59,51,125,43,5
1804010032,149,400,23,82,1,61,54,122,45,5
1804010033,153,388,22,86,1,59,50,126,47,5
1804010034,160,380,23,84,1,57,52,131,46,5
1804010035,154,389,23,84,1,60,49,133,43,5
1804010036,155,378,23,86,1,58,50,128,39,5
1804010037,153,372,25,83,2,56,51,131,45,5
1804010038,155,363,25,87,2,53,50,127,49,6
1804010039,150,360,27,85,2,56,51,129,51,6
1804010040,151,353,25,77,2,58,49,134,52,5
1804010041,143,354,25,71,2,55,46,135,50,5
1804010042,138,357,25,77,2,62,46,133,51,5
1804010043,146,349,23,77,2,64,46,135,49,5
1804010044,141,351,23,73,3,68,46,137,51,5
1804010045,141,356,21,73,3,66,48,134,50,5
1804010046,152,363,21,77,3,67,46,133,44,4
1804010047,158,354,23,75,3,64,47,134,45,4
1804010048,153,352,22,79,2,64,49,127,44,4
1804010049,153,356,24,74,2,58,51,126,43,4
1804010050,152,369,25,73,2,59,50,124,48,4
1804010051,151,370,25,79,2,58,48,126,46,4
1804010052,145,367,24,85,2,60,47,129,52,4
1804010053,153,349,23,80,2,61,47,132,50,4
1804010054,146,361,21,84,2,60,46,132,39,4
1804010055,147,338,21,78,2,61,46,132,42,5
1804010056,149,338,23,81,2,57,48,139,40,5
1804010057,151,342,23,84,2,58,49,139,41,5
1804010058,151,339,22,84,1,58,52,127,47,5
1804010059,145,338,22,88,1,63,52,133,47,5
1804010100,142,323,22,84,1,64,52,133,45,5
1804010101,140,340,22,83,1,64,53,138,44,5
1804010102,139,338,22,83,1,62,55,140,45,5
1804010103,141,340,22,83,1,63,54,130,41,5
1804010104,140,328,24,82,1,61,52,132,45,5
1804010105,137,323,24,92,1,59,49,131,45,4
1804010106,128,324,23,86,1,56,51,137,51,4
1804010107,133,318,24,86,1,55,52,145,53,4
1804010108,133,312,23,87,1,58,50,145,55,6
1804010109,130,317,23,82,1,54,50,148,53,6
1804010110,136,306,24,84,1,62,50,148,51,5
1804010111,135,318,24,87,1,63,48,143,46,5
1804010112,135,324,24,84,2,61,48,141,48,6
1804010113,133,330,23,77,2,56,50,142,45,6
1804010114,135,343,25,79,2,60,49,141,40,5
1804010115,128,338,24,85,2,56,51,137,45,6
1804010116,128,322,23,82,2,56,51,142,49,6
1804010117,140,333,23,78,2,61,51,139,45,6
1804010118,140,334,23,86,2,58,50,142,44,6
1804010119,140,328,23,87,1,63,50,140,38,6
1804010120,143,323,23,89,1,60,49,143,37,6
1804010121,146,316,23,82,1,58,49,137,39,6
1804010122,145,316,23,82,1,55,50,134,41,6
1804010123,145,316,23,77,1,54,53,133,42,6
1804010124,135,320,22,83,1,55,53,132,45,6
1804010125,135,309,22,80,1,53,54,133,43,6
1804010126,145,311,22,75,1,53,53,133,47,6
1804010127,149,312,22,70,1,54,53,135,49,6
1804010128,147,310,22,72,1,58,54,136,49,6
1804010129,147,305,24,72,1,58,53,140,44,6
1804010130,145,313,23,64,1,56,55,141,47,7
1804010131,131,310,25,61,1,50,54,134,49,6
1804010132,141,299,26,63,1,54,54,133,54,5
1804010133,140,287,26,63,1,52,54,132,48,5
1804010134,144,281,26,61,1,57,52,131,48,5
1804010135,140,301,24,64,1,56,53,127,47,4
1804010136,140,285,23,67,1,58,53,131,43,5
1804010137,145,287,23,66,1,61,54,134,42,5
1804010138,143,285,23,77,1,61,56,133,39,5
1804010139,133,281,22,83,1,61,55,130,39,5
1804010140,140,283,22,73,1,60,54,131,35,5
1804010141,136,271,20,79,1,61,56,130,36,4
1804010142,136,275,20,78,1,63,55,131,34,4
1804010143,134,275,20,82,1,60,55,129,34,4
1804010144,135,274,21,84,1,55,56,132,35,4
1804010145,138,281,21,84,1,57,55,132,38,4
1804010146,141,277,21,82,1,59,53,134,34,4
1804010147,148,278,20,75,1,57,53,137,35,4
1804010148,141,271,20,70,1,60,53,142,35,4
1804010149,137,266,21,63,1,63,54,139,34,4
1804010150,138,277,21,69,1,61,53,138,33,4
1804010151,139,288,21,72,1,65,52,134,31,4
1804010152,126,300,21,71,1,55,51,133,31,4
1804010153,131,300,21,71,1,61,50,138,33,5
1804010154,126,284,20,69,1,61,49,140,26,5
1804010155,124,283,20,68,1,57,49,144,32,5
1804010156,121,264,20,68,1,59,50,138,30,5
1804010157,121,266,19,66,1,59,51,136,29,5
1804010158,124,267,20,59,2,59,53,141,28,5
1804010159,123,271,20,61,2,64,52,143,27,4
1804010200,124,254,20,58,3,64,51,143,27,4
1804010201,121,257,19,57,2,60,52,151,35,4
1804010202,119,253,21,55,2,52,52,143,36,4
1804010203,126,247,21,55,2,49,54,141,36,4
1804010204,128,249,20,58,2,54,52,142,36,4
1804010205,124,249,20,53,2,59,54,147,35,4
1804010206,125,243,22,56,1,61,56,142,31,4
1804010207,132,243,22,58,1,62,54,144,32,4
1804010208,134,245,21,54,1,59,54,144,32,4
1804010209,125,243,20,49,1,60,53,142,31,4
1804010210,124,226,20,54,1,63,54,140,35,5
1804010211,122,234,20,55,1,62,55,144,32,5
1804010212,120,230,18,62,1,61,54,147,33,5
1804010213,122,226,18,63,1,60,55,143,32,5
1804010214,120,224,19,67,1,57,56,147,31,5
1804010215,124,224,19,63,1,55,54,146,30,5
1804010216,127,222,20,60,1,61,54,144,29,4
1804010217,139,212,21,59,1,62,53,147,30,4
1804010218,136,218,22,62,1,62,54,147,26,4
1804010219,136,217,22,61,1,56,54,149,22,4
1804010220,137,227,23,63,1,56,53,150,26,5
1804010221,131,218,23,61,2,54,56,150,28,5
1804010222,126,218,23,52,2,56,56,156,29,4
1804010223,123,219,21,47,2,56,55,154,29,4
1804010224,129,215,22,51,2,53,55,155,26,4
1804010225,132,214,22,50,2,54,54,153,28,4
1804010226,129,211,22,58,1,56,55,149,26,4
1804010227,133,217,22,52,1,59,55,153,28,4
