id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2,COMP_M,SimpleCase,ServiceA,M.A,1,9,1,6,Sensor,0.008238022874510118,17.0005,17.00873802287451,10.0,17.0005
1,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,5,Sensor,0.008238022874510118,18.000500000000006,18.008738022874514,10.0,18.000500000000006
4,COMP_M,SimpleCase,ServiceA,M.A,3,9,3,6,Sensor,0.008238022874510118,18.000500000000006,18.008738022874514,10.0,18.000500000000006
3,COMP_M,SimpleCase,ServiceA,M.A,2,10,2,7,Sensor,0.008238022874510118,19.0005,19.008738022874514,10.0,19.0005
3,SINK_M,SimpleCase,Actuator,M.B,10,4,7,4,ServiceA,0.0,22.009488022874518,22.009488022874518,19.008738022874514,22.009488022874518
1,SINK_M,SimpleCase,Actuator,M.B,8,4,5,4,ServiceA,0.0,23.009488022874518,23.009488022874518,18.008738022874514,23.009488022874518
2,SINK_M,SimpleCase,Actuator,M.B,9,4,6,4,ServiceA,0.0,25.009488022874514,25.009488022874514,17.00873802287451,25.009488022874514
6,COMP_M,SimpleCase,ServiceA,M.A,1,9,1,6,Sensor,0.008238022874510118,27.0005,27.008738022874514,20.0,27.0005
5,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,5,Sensor,0.008238022874510118,28.0005,28.008738022874518,20.0,28.0005
8,COMP_M,SimpleCase,ServiceA,M.A,3,9,3,6,Sensor,0.008238022874510118,28.0005,28.008738022874518,20.0,28.0005
7,COMP_M,SimpleCase,ServiceA,M.A,2,10,2,7,Sensor,0.008238022874510118,29.0005,29.008738022874518,20.0,29.0005
7,SINK_M,SimpleCase,Actuator,M.B,10,4,7,4,ServiceA,0.0,32.009488022874514,32.009488022874514,29.008738022874518,32.009488022874514
5,SINK_M,SimpleCase,Actuator,M.B,8,4,5,4,ServiceA,0.0,33.009488022874514,33.009488022874514,28.008738022874518,33.009488022874514
4,SINK_M,SimpleCase,Actuator,M.B,9,4,6,4,ServiceA,0.0,33.01023802287451,33.01023802287451,18.008738022874514,33.01023802287451
10,COMP_M,SimpleCase,ServiceA,M.A,1,9,1,6,Sensor,0.008238022874510118,37.0005,37.00873802287451,30.0,37.0005
9,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,5,Sensor,0.008238022874510118,38.0002,38.00843802287451,30.0,38.0002
12,COMP_M,SimpleCase,ServiceA,M.A,3,9,3,6,Sensor,0.008238022874510118,38.0005,38.00873802287451,30.0,38.0005
11,COMP_M,SimpleCase,ServiceA,M.A,2,10,2,7,Sensor,0.008238022874510118,39.0005,39.00873802287451,30.0,39.0005
6,SINK_M,SimpleCase,Actuator,M.B,9,4,6,4,ServiceA,0.0,41.01098802287451,41.01098802287451,27.008738022874514,41.01098802287451
11,SINK_M,SimpleCase,Actuator,M.B,10,4,7,4,ServiceA,0.0,42.00948802287451,42.00948802287451,39.00873802287451,42.00948802287451
9,SINK_M,SimpleCase,Actuator,M.B,8,4,5,4,ServiceA,0.0,43.00918802287451,43.00918802287451,38.00843802287451,43.00918802287451
14,COMP_M,SimpleCase,ServiceA,M.A,1,9,1,6,Sensor,3.8280455022794513,47.00045,50.82849550227945,40.0,47.00045
