id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,7,SimpleCase,10.000041474654378,M.A,10,900,0
2,LINK,1,8,SimpleCase,10.000034615384616,M.A,10,900,1
3,LINK,2,9,SimpleCase,6.000036290322581,M.A,10,900,2
4,LINK,3,10,SimpleCase,3.000047120418848,M.A,10,900,3
5,LINK,4,11,SimpleCase,4.000035433070866,M.A,10,900,4
6,LINK,5,12,SimpleCase,1.0000502793296089,M.A,10,900,5
6,LINK,5,12,SimpleCase,1.0000502793296089,M.A,11.000050279329608,900,5
6,LINK,12,6,SimpleCase,1.00075,M.B,11.022369442096215,750,6
6,LINK,12,6,SimpleCase,1.00075,M.B,12.022419721425823,750,6
6,LINK,12,6,SimpleCase,1.00075,M.B,12.023119442096215,750,6
4,LINK,10,6,SimpleCase,9.00075,M.B,13.022366283185455,750,6
6,LINK,10,6,SimpleCase,9.00075,M.B,13.023869442096215,750,6
5,LINK,11,6,SimpleCase,8.00075,M.B,14.022354595837474,750,6
6,LINK,11,6,SimpleCase,8.00075,M.B,14.024619442096215,750,6
3,LINK,9,6,SimpleCase,6.00075,M.B,16.022355453089187,750,6
7,LINK,0,7,SimpleCase,10.000041474654378,M.A,20,900,7
8,LINK,1,13,SimpleCase,1.0000454545454545,M.A,20,900,8
9,LINK,2,14,SimpleCase,10.00003515625,M.A,20,900,9
10,LINK,3,12,SimpleCase,2.000050279329609,M.A,20,900,10
11,LINK,4,10,SimpleCase,8.000047120418849,M.A,20,900,11
12,LINK,5,11,SimpleCase,9.000035433070867,M.A,20,900,12
2,LINK,5,8,SimpleCase,8.000034615384616,M.A,20.000034615384614,900,12
1,LINK,5,7,SimpleCase,2.000041474654378,M.A,20.000041474654378,900,12
2,LINK,8,6,SimpleCase,2.00075,M.B,20.02235377815122,750,13
1,LINK,7,6,SimpleCase,5.00075,M.B,20.022360637420984,750,14
8,LINK,13,6,SimpleCase,4.00075,M.B,21.02236461731206,750,14
10,LINK,12,6,SimpleCase,1.00075,M.B,22.022369442096217,750,13
1,LINK,7,6,SimpleCase,5.00075,M.B,22.022402112075362,750,14
2,LINK,7,6,SimpleCase,5.00075,M.B,22.02310377815122,750,14
5,LINK,7,6,SimpleCase,5.00075,M.B,22.023104595837474,750,14
3,LINK,7,6,SimpleCase,5.00075,M.B,22.023105453089187,750,14
4,LINK,7,6,SimpleCase,5.00075,M.B,22.023116283185455,750,14
10,LINK,7,6,SimpleCase,5.00075,M.B,23.023119442096217,750,14
1,LINK,7,6,SimpleCase,5.00075,M.B,25.023110637420984,750,14
8,LINK,7,6,SimpleCase,5.00075,M.B,25.02311461731206,750,14
11,LINK,10,6,SimpleCase,9.00075,M.B,28.022366283185455,750,13
2,LINK,8,6,SimpleCase,2.00075,M.B,28.022388393535834,750,14
12,LINK,11,6,SimpleCase,8.00075,M.B,29.022354595837474,750,14
13,LINK,0,7,SimpleCase,10.000041474654378,M.A,30,900,15
14,LINK,1,9,SimpleCase,4.000036290322581,M.A,30,900,16
15,LINK,2,8,SimpleCase,2.0000346153846156,M.A,30,900,17
16,LINK,3,13,SimpleCase,8.000045454545454,M.A,30,900,18
17,LINK,4,12,SimpleCase,9.000050279329608,M.A,30,900,19
18,LINK,5,10,SimpleCase,1.0000471204188481,M.A,30,900,20
9,LINK,5,14,SimpleCase,3.00003515625,M.A,30.00003515625,900,20
7,LINK,5,7,SimpleCase,2.000041474654378,M.A,30.000082949308755,900,20
9,LINK,14,6,SimpleCase,4.00075,M.B,30.022354319016607,750,21
7,LINK,7,6,SimpleCase,5.00075,M.B,30.022402112075362,750,22
2,LINK,7,6,SimpleCase,5.00075,M.B,30.023138393535834,750,22
6,LINK,7,6,SimpleCase,5.00075,M.B,30.023854595837474,750,22
1,LINK,7,6,SimpleCase,5.00075,M.B,30.023860637420984,750,22
18,LINK,10,6,SimpleCase,9.00075,M.B,31.022366283185455,750,22
6,LINK,10,6,SimpleCase,9.00075,M.B,31.023866283185455,750,22
15,LINK,8,6,SimpleCase,2.00075,M.B,32.02235377815122,750,21
7,LINK,7,6,SimpleCase,5.00075,M.B,32.02244358672974,750,22
9,LINK,14,6,SimpleCase,4.00075,M.B,33.02238947526661,750,22
14,LINK,9,6,SimpleCase,6.00075,M.B,34.02235545308919,750,22
15,LINK,9,6,SimpleCase,6.00075,M.B,34.023103778151224,750,22
9,LINK,9,6,SimpleCase,6.00075,M.B,34.02310431901661,750,22
2,LINK,9,6,SimpleCase,6.00075,M.B,35.024610637420984,750,22
16,LINK,13,6,SimpleCase,4.00075,M.B,38.022364617312064,750,22
9,LINK,13,6,SimpleCase,4.00075,M.B,38.02385431901661,750,22
12,LINK,13,6,SimpleCase,4.00075,M.B,38.024604595837474,750,22
17,LINK,12,6,SimpleCase,1.00075,M.B,39.02236944209621,750,22
19,LINK,0,7,SimpleCase,10.000216,M.A,40,900,23
20,LINK,1,11,SimpleCase,7.000212598425197,M.A,40,900,24
21,LINK,2,14,SimpleCase,10.000227848101266,M.A,40,900,25
22,LINK,3,10,SimpleCase,3.0002053231939163,M.A,40,900,26
