id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,3,0,SimpleCase,1.001,M.A,50,1000,0
1,LINK,0,2,SimpleCase,1.00025,M.B,51.009238022874506,750,0
2,LINK,1,0,SimpleCase,1.001,M.A,100,1000,0
3,LINK,3,0,SimpleCase,1.001,M.A,100,1000,1
2,LINK,0,2,SimpleCase,1.00025,M.B,101.00923802287451,750,0
3,LINK,0,2,SimpleCase,1.00025,M.B,101.01747604574902,750,1
4,LINK,3,0,SimpleCase,1.001,M.A,150,1000,0
4,LINK,0,2,SimpleCase,1.00025,M.B,151.0092380228745,750,0
5,LINK,1,0,SimpleCase,1.001,M.A,200,1000,0
6,LINK,3,0,SimpleCase,1.001,M.A,200,1000,1
5,LINK,0,2,SimpleCase,1.00025,M.B,201.0092380228745,750,0
6,LINK,0,2,SimpleCase,1.00025,M.B,201.01747604574902,750,1
7,LINK,3,0,SimpleCase,1.001,M.A,250,1000,0
7,LINK,0,2,SimpleCase,1.00025,M.B,251.0092380228745,750,0
8,LINK,1,0,SimpleCase,1.001,M.A,300,1000,0
9,LINK,3,0,SimpleCase,1.001,M.A,300,1000,1
8,LINK,0,2,SimpleCase,1.00025,M.B,301.0092380228745,750,0
9,LINK,0,2,SimpleCase,1.00025,M.B,301.01747604574905,750,1
10,LINK,3,0,SimpleCase,1.001,M.A,350,1000,0
10,LINK,0,2,SimpleCase,1.00025,M.B,351.0092380228745,750,0
11,LINK,1,0,SimpleCase,1.001,M.A,400,1000,0
12,LINK,3,0,SimpleCase,1.001,M.A,400,1000,1
11,LINK,0,2,SimpleCase,1.00025,M.B,401.0092380228745,750,0
12,LINK,0,2,SimpleCase,1.00025,M.B,401.01747604574905,750,1
13,LINK,3,0,SimpleCase,1.001,M.A,450,1000,0
13,LINK,0,2,SimpleCase,1.00025,M.B,451.0092380228745,750,0
14,LINK,1,0,SimpleCase,1.001,M.A,500,1000,0
15,LINK,3,0,SimpleCase,1.001,M.A,500,1000,1
14,LINK,0,2,SimpleCase,1.00025,M.B,501.0092380228745,750,0
15,LINK,0,2,SimpleCase,1.00025,M.B,501.01747604574905,750,1
16,LINK,3,0,SimpleCase,1.001,M.A,550,1000,0
16,LINK,0,2,SimpleCase,1.00025,M.B,551.0092380228745,750,0
17,LINK,1,0,SimpleCase,1.001,M.A,600,1000,0
18,LINK,3,0,SimpleCase,1.001,M.A,600,1000,1
17,LINK,0,2,SimpleCase,1.00025,M.B,601.0092380228745,750,0
18,LINK,0,2,SimpleCase,1.00025,M.B,601.0174760457489,750,1
19,LINK,3,0,SimpleCase,1.001,M.A,650,1000,0
19,LINK,0,2,SimpleCase,1.00025,M.B,651.0092380228745,750,0
20,LINK,1,0,SimpleCase,1.001,M.A,700,1000,0
21,LINK,3,0,SimpleCase,1.001,M.A,700,1000,1
20,LINK,0,2,SimpleCase,1.00025,M.B,701.0092380228745,750,0
21,LINK,0,2,SimpleCase,1.00025,M.B,701.0174760457489,750,1
22,LINK,3,0,SimpleCase,1.001,M.A,750,1000,0
22,LINK,0,2,SimpleCase,1.00025,M.B,751.0092380228745,750,0
23,LINK,1,0,SimpleCase,1.001,M.A,800,1000,0
24,LINK,3,0,SimpleCase,1.001,M.A,800,1000,1
23,LINK,0,2,SimpleCase,1.00025,M.B,801.0092380228745,750,0
24,LINK,0,2,SimpleCase,1.00025,M.B,801.0174760457489,750,1
25,LINK,3,0,SimpleCase,1.001,M.A,850,1000,0
25,LINK,0,2,SimpleCase,1.00025,M.B,851.0092380228745,750,0
26,LINK,1,0,SimpleCase,1.001,M.A,900,1000,0
27,LINK,3,0,SimpleCase,1.001,M.A,900,1000,1
26,LINK,0,2,SimpleCase,1.00025,M.B,901.0092380228745,750,0
27,LINK,0,2,SimpleCase,1.00025,M.B,901.0174760457489,750,1
28,LINK,3,0,SimpleCase,1.001,M.A,950,1000,0
28,LINK,0,2,SimpleCase,1.00025,M.B,951.0092380228745,750,0
