state,Edge Device,Latency,Edge_Device
"{'PR': {0: 5, 1: 5, 2: 7, 3: 3, 4: 7, 5: 9, 6: 7, 7: 10, 8: 4, 9: 2}, 'memories': {0: (200, 19800), 1: (400, 19600), 2: (400, 19600), 3: (400, 19600), 4: (400, 19600), 5: (600, 19400), 6: (400, 19600), 7: (600, 19400), 8: (200, 19800), 9: (400, 19600)}, 'bandwidth': {0: (4.133333333333334, 4.133333333333334), 1: (3.516666666666667, 3.516666666666667), 2: (4.233333333333333, 4.233333333333333), 3: (4.1000000000000005, 4.1000000000000005), 4: (2.983333333333333, 2.983333333333333), 5: (4.3, 4.3), 6: (3.3666666666666667, 3.3666666666666667), 7: (4.266666666666667, 4.266666666666667), 8: (4.1000000000000005, 4.1000000000000005), 9: (4.266666666666667, 4.266666666666667)}, 'input_size': 1000}",,24.6978403893836,5.0
"{'PR': {0: 9, 1: 5, 2: 4, 3: 8, 4: 8, 5: 8, 6: 7, 7: 4, 8: 3, 9: 10}, 'memories': {0: (200, 19800), 1: (400, 19600), 2: (200, 19800), 3: (400, 19600), 4: (600, 19400), 5: (200, 19800), 6: (600, 19400), 7: (600, 19400), 8: (200, 19800), 9: (200, 19800)}, 'bandwidth': {0: (1.2333333333333334, 1.2333333333333334), 1: (1.3833333333333335, 1.3833333333333335), 2: (1.2333333333333334, 1.2333333333333334), 3: (2.1083333333333334, 2.1083333333333334), 4: (1.1583333333333334, 1.1583333333333334), 5: (1.5583333333333333, 1.5583333333333333), 6: (2.216666666666667, 2.216666666666667), 7: (1.5833333333333333, 1.5833333333333333), 8: (1.4749999999999999, 1.4749999999999999), 9: (1.3833333333333335, 1.3833333333333335)}, 'input_size': 1100}",,22.698517613401066,4.0
"{'PR': {0: 3, 1: 3, 2: 3, 3: 9, 4: 10, 5: 7, 6: 5, 7: 4, 8: 4, 9: 2}, 'memories': {0: (400, 19600), 1: (600, 19400), 2: (200, 19800), 3: (400, 19600), 4: (600, 19400), 5: (200, 19800), 6: (600, 19400), 7: (200, 19800), 8: (600, 19400), 9: (400, 19600)}, 'bandwidth': {0: (2.1818181818181817, 2.1818181818181817), 1: (1.6090909090909091, 1.6090909090909091), 2: (2.1999999999999997, 2.1999999999999997), 3: (2.3181818181818183, 2.3181818181818183), 4: (1.6909090909090911, 1.6909090909090911), 5: (1.8636363636363635, 1.8636363636363635), 6: (2.3545454545454545, 2.3545454545454545), 7: (2.1999999999999997, 2.1999999999999997), 8: (2.1999999999999997, 2.1999999999999997), 9: (2.3181818181818183, 2.3181818181818183)}, 'input_size': 1100}",,12.699006943940475,1.0
"{'PR': {0: 7, 1: 1, 2: 2, 3: 10, 4: 5, 5: 6, 6: 9, 7: 4, 8: 5, 9: 8}, 'memories': {0: (200, 19800), 1: (200, 19800), 2: (200, 19800), 3: (200, 19800), 4: (200, 19800), 5: (600, 19400), 6: (400, 19600), 7: (200, 19800), 8: (200, 19800), 9: (200, 19800)}, 'bandwidth': {0: (2.3666666666666667, 2.3666666666666667), 1: (3.3000000000000003, 3.3000000000000003), 2: (3.283333333333333, 3.283333333333333), 3: (4.3, 4.3), 4: (4.266666666666667, 4.266666666666667), 5: (2.466666666666667, 2.466666666666667), 6: (4.266666666666667, 4.266666666666667), 7: (3.516666666666667, 3.516666666666667), 8: (2.9333333333333336, 2.9333333333333336), 9: (4.016666666666667, 4.016666666666667)}, 'input_size': 1100}",,18.696735686594423,5.0
"{'PR': {0: 6, 1: 8, 2: 3, 3: 7, 4: 3, 5: 1, 6: 9, 7: 7, 8: 10, 9: 8}, 'memories': {0: (200, 19800), 1: (400, 19600), 2: (400, 19600), 3: (200, 19800), 4: (200, 19800), 5: (400, 19600), 6: (600, 19400), 7: (200, 19800), 8: (200, 19800), 9: (400, 19600)}, 'bandwidth': {0: (2.2454545454545456, 2.2454545454545456), 1: (2.2636363636363637, 2.2636363636363637), 2: (2.3181818181818183, 2.3181818181818183), 3: (1.9, 1.9), 4: (1.0, 1.0), 5: (2.372727272727273, 2.372727272727273), 6: (2.3636363636363638, 2.3636363636363638), 7: (1.8545454545454545, 1.8545454545454545), 8: (1.6363636363636365, 1.6363636363636365), 9: (2.372727272727273, 2.372727272727273)}, 'input_size': 900}",,24.699755579507297,6.0
"{'PR': {0: 1, 1: 10, 2: 3, 3: 6, 4: 5, 5: 6, 6: 9, 7: 7, 8: 2, 9: 5}, 'memories': {0: (400, 19600), 1: (200, 19800), 2: (600, 19400), 3: (600, 19400), 4: (200, 19800), 5: (600, 19400), 6: (400, 19600), 7: (200, 19800), 8: (400, 19600), 9: (600, 19400)}, 'bandwidth': {0: (5.14, 5.14), 1: (2.96, 2.96), 2: (5.2, 5.2), 3: (3.7, 3.7), 4: (3.3200000000000003, 3.3200000000000003), 5: (4.9, 4.9), 6: (4.279999999999999, 4.279999999999999), 7: (4.82, 4.82), 8: (3.9200000000000004, 3.9200000000000004), 9: (4.1, 4.1)}, 'input_size': 1000}",,12.696104321308198,2.0
"{'PR': {0: 9, 1: 3, 2: 2, 3: 5, 4: 8, 5: 7, 6: 1, 7: 9, 8: 2, 9: 9}, 'memories': {0: (600, 19400), 1: (200, 19800), 2: (200, 19800), 3: (200, 19800), 4: (600, 19400), 5: (400, 19600), 6: (400, 19600), 7: (200, 19800), 8: (400, 19600), 9: (400, 19600)}, 'bandwidth': {0: (14.2, 14.2), 1: (26.0, 26.0), 2: (20.6, 20.6), 3: (19.0, 19.0), 4: (26.0, 26.0), 5: (26.0, 26.0), 6: (25.8, 25.8), 7: (25.3, 25.3), 8: (25.5, 25.5), 9: (22.8, 22.8)}, 'input_size': 1100}",,24.696805421601397,0.0
"{'PR': {0: 7, 1: 5, 2: 8, 3: 7, 4: 2, 5: 4, 6: 6, 7: 3, 8: 1, 9: 1}, 'memories': {0: (600, 19400), 1: (200, 19800), 2: (600, 19400), 3: (600, 19400), 4: (600, 19400), 5: (400, 19600), 6: (400, 19600), 7: (400, 19600), 8: (200, 19800), 9: (400, 19600)}, 'bandwidth': {0: (3.3285714285714287, 3.3285714285714287), 1: (3.5714285714285716, 3.5714285714285716), 2: (3.0, 3.0), 3: (3.057142857142857, 3.057142857142857), 4: (3.414285714285714, 3.414285714285714), 5: (3.5142857142857147, 3.5142857142857147), 6: (3.642857142857143, 3.642857142857143), 7: (3.3428571428571425, 3.3428571428571425), 8: (3.7857142857142856, 3.7857142857142856), 9: (3.4285714285714284, 3.4285714285714284)}, 'input_size': 900}",,20.699828407932202,0.0
"{'PR': {0: 5, 1: 6, 2: 5, 3: 1, 4: 4, 5: 5, 6: 8, 7: 4, 8: 2, 9: 2}, 'memories': {0: (600, 19400), 1: (400, 19600), 2: (600, 19400), 3: (400, 19600), 4: (200, 19800), 5: (400, 19600), 6: (400, 19600), 7: (200, 19800), 8: (200, 19800), 9: (200, 19800)}, 'bandwidth': {0: (2.611111111111111, 2.611111111111111), 1: (2.2777777777777777, 2.2777777777777777), 2: (1.5444444444444445, 1.5444444444444445), 3: (2.533333333333333, 2.533333333333333), 4: (2.888888888888889, 2.888888888888889), 5: (2.7444444444444445, 2.7444444444444445), 6: (2.8555555555555556, 2.8555555555555556), 7: (2.8555555555555556, 2.8555555555555556), 8: (2.7333333333333334, 2.7333333333333334), 9: (2.9222222222222225, 2.9222222222222225)}, 'input_size': 1000}",,18.110694261063927,0.0
"{'PR': {0: 3, 1: 7, 2: 1, 3: 1, 4: 9, 5: 6, 6: 6, 7: 1, 8: 4, 9: 9}, 'memories': {0: (600, 19400), 1: (200, 19800), 2: (400, 19600), 3: (600, 19400), 4: (600, 19400), 5: (600, 19400), 6: (400, 19600), 7: (400, 19600), 8: (200, 19800), 9: (600, 19400)}, 'bandwidth': {0: (3.1875, 3.1875), 1: (3.0, 3.0), 2: (2.375, 2.375), 3: (3.325, 3.325), 4: (3.1625, 3.1625), 5: (2.5625, 2.5625), 6: (3.0375, 3.0375), 7: (3.0, 3.0), 8: (3.075, 3.075), 9: (2.85, 2.85)}, 'input_size': 1000}",,12.695728610725808,0.0
