state,Edge Device,Latency,Edge_Device
"{'PR': {0: 9, 1: 6, 2: 5, 3: 9, 4: 7, 5: 7, 6: 6, 7: 7, 8: 1, 9: 6}, 'memories': {0: (600, 19400), 1: (400, 19600), 2: (200, 19800), 3: (200, 19800), 4: (600, 19400), 5: (600, 19400), 6: (600, 19400), 7: (600, 19400), 8: (400, 19600), 9: (200, 19800)}, 'bandwidth': {0: (4.0, 4.0), 1: (3.716666666666667, 3.716666666666667), 2: (3.9, 3.9), 3: (4.25, 4.25), 4: (4.366666666666666, 4.366666666666666), 5: (4.166666666666667, 4.166666666666667), 6: (4.2, 4.2), 7: (4.333333333333333, 4.333333333333333), 8: (4.066666666666666, 4.066666666666666), 9: (3.4, 3.4)}, 'input_size': 1100}",,8.693374840759233,8.0
"{'PR': {0: 7, 1: 1, 2: 9, 3: 2, 4: 5, 5: 4, 6: 5, 7: 3, 8: 3, 9: 3}, 'memories': {0: (200, 19800), 1: (200, 19800), 2: (600, 19400), 3: (600, 19400), 4: (200, 19800), 5: (600, 19400), 6: (200, 19800), 7: (200, 19800), 8: (600, 19400), 9: (600, 19400)}, 'bandwidth': {0: (3.1625, 3.1625), 1: (2.25, 2.25), 2: (2.925, 2.925), 3: (2.325, 2.325), 4: (3.0875, 3.0875), 5: (2.3, 2.3), 6: (3.3125, 3.3125), 7: (2.525, 2.525), 8: (2.35, 2.35), 9: (1.5125, 1.5125)}, 'input_size': 900}",,8.697340973170355,1.0
"{'PR': {0: 6, 1: 1, 2: 7, 3: 9, 4: 3, 5: 1, 6: 4, 7: 5, 8: 5, 9: 9}, 'memories': {0: (200, 19800), 1: (600, 19400), 2: (200, 19800), 3: (400, 19600), 4: (600, 19400), 5: (400, 19600), 6: (400, 19600), 7: (600, 19400), 8: (400, 19600), 9: (400, 19600)}, 'bandwidth': {0: (3.05, 3.05), 1: (1.825, 1.825), 2: (2.975, 2.975), 3: (3.0, 3.0), 4: (2.3, 2.3), 5: (3.1, 3.1), 6: (3.3125, 3.3125), 7: (3.075, 3.075), 8: (2.6625, 2.6625), 9: (3.25, 3.25)}, 'input_size': 900}",,8.698315692778323,1.0
"{'PR': {0: 4, 1: 6, 2: 2, 3: 8, 4: 8, 5: 4, 6: 7, 7: 1, 8: 5, 9: 6}, 'memories': {0: (200, 19800), 1: (600, 19400), 2: (400, 19600), 3: (600, 19400), 4: (200, 19800), 5: (400, 19600), 6: (400, 19600), 7: (200, 19800), 8: (600, 19400), 9: (400, 19600)}, 'bandwidth': {0: (17.7, 17.7), 1: (25.7, 25.7), 2: (25.7, 25.7), 3: (22.1, 22.1), 4: (22.8, 22.8), 5: (24.8, 24.8), 6: (21.4, 21.4), 7: (19.5, 19.5), 8: (25.2, 25.2), 9: (20.8, 20.8)}, 'input_size': 1000}",,8.69878463546366,7.0
"{'PR': {0: 1, 1: 6, 2: 4, 3: 1, 4: 1, 5: 8, 6: 9, 7: 2, 8: 9, 9: 5}, 'memories': {0: (600, 19400), 1: (400, 19600), 2: (200, 19800), 3: (400, 19600), 4: (600, 19400), 5: (200, 19800), 6: (200, 19800), 7: (600, 19400), 8: (400, 19600), 9: (400, 19600)}, 'bandwidth': {0: (3.6714285714285713, 3.6714285714285713), 1: (3.7714285714285714, 3.7714285714285714), 2: (1.6142857142857143, 1.6142857142857143), 3: (3.6714285714285713, 3.6714285714285713), 4: (3.4714285714285715, 3.4714285714285715), 5: (3.6285714285714286, 3.6285714285714286), 6: (3.257142857142857, 3.257142857142857), 7: (3.542857142857143, 3.542857142857143), 8: (3.7857142857142856, 3.7857142857142856), 9: (3.8000000000000003, 3.8000000000000003)}, 'input_size': 900}",,8.699442888958544,0.0
"{'PR': {0: 2, 1: 10, 2: 8, 3: 3, 4: 1, 5: 10, 6: 1, 7: 6, 8: 4, 9: 10}, 'memories': {0: (600, 19400), 1: (200, 19800), 2: (200, 19800), 3: (400, 19600), 4: (400, 19600), 5: (600, 19400), 6: (600, 19400), 7: (200, 19800), 8: (400, 19600), 9: (400, 19600)}, 'bandwidth': {0: (1.6090909090909091, 1.6090909090909091), 1: (2.290909090909091, 2.290909090909091), 2: (2.272727272727273, 2.272727272727273), 3: (2.018181818181818, 2.018181818181818), 4: (2.2363636363636363, 2.2363636363636363), 5: (2.309090909090909, 2.309090909090909), 6: (2.1363636363636362, 2.1363636363636362), 7: (2.0272727272727273, 2.0272727272727273), 8: (2.309090909090909, 2.309090909090909), 9: (1.9272727272727272, 1.9272727272727272)}, 'input_size': 1100}",,8.700258640910334,4.0
"{'PR': {0: 9, 1: 1, 2: 10, 3: 8, 4: 6, 5: 9, 6: 9, 7: 2, 8: 6, 9: 8}, 'memories': {0: (200, 19800), 1: (600, 19400), 2: (200, 19800), 3: (600, 19400), 4: (200, 19800), 5: (600, 19400), 6: (200, 19800), 7: (200, 19800), 8: (400, 19600), 9: (200, 19800)}, 'bandwidth': {0: (24.3, 24.3), 1: (21.3, 21.3), 2: (24.6, 24.6), 3: (25.4, 25.4), 4: (24.0, 24.0), 5: (21.2, 21.2), 6: (24.0, 24.0), 7: (26.0, 26.0), 8: (26.4, 26.4), 9: (25.4, 25.4)}, 'input_size': 1100}",,10.037273096761645,1.0
"{'PR': {0: 1, 1: 4, 2: 3, 3: 7, 4: 1, 5: 4, 6: 1, 7: 2, 8: 2, 9: 2}, 'memories': {0: (400, 19600), 1: (600, 19400), 2: (200, 19800), 3: (200, 19800), 4: (600, 19400), 5: (600, 19400), 6: (600, 19400), 7: (600, 19400), 8: (400, 19600), 9: (600, 19400)}, 'bandwidth': {0: (24.8, 24.8), 1: (19.8, 19.8), 2: (19.4, 19.4), 3: (19.6, 19.6), 4: (20.6, 20.6), 5: (24.7, 24.7), 6: (19.5, 19.5), 7: (21.4, 21.4), 8: (25.3, 25.3), 9: (26.2, 26.2)}, 'input_size': 900}",,10.110379043672609,0.0
"{'PR': {0: 10, 1: 8, 2: 10, 3: 4, 4: 3, 5: 9, 6: 10, 7: 4, 8: 2, 9: 8}, 'memories': {0: (400, 19600), 1: (200, 19800), 2: (200, 19800), 3: (600, 19400), 4: (200, 19800), 5: (200, 19800), 6: (600, 19400), 7: (200, 19800), 8: (400, 19600), 9: (400, 19600)}, 'bandwidth': {0: (2.766666666666667, 2.766666666666667), 1: (4.333333333333333, 4.333333333333333), 2: (2.9, 2.9), 3: (3.3166666666666664, 3.3166666666666664), 4: (4.0, 4.0), 5: (4.25, 4.25), 6: (3.1833333333333336, 3.1833333333333336), 7: (2.983333333333333, 2.983333333333333), 8: (4.216666666666667, 4.216666666666667), 9: (4.266666666666667, 4.266666666666667)}, 'input_size': 900}",,10.698320555277661,8.0
"{'PR': {0: 3, 1: 8, 2: 10, 3: 8, 4: 1, 5: 10, 6: 7, 7: 9, 8: 6, 9: 1}, 'memories': {0: (400, 19600), 1: (600, 19400), 2: (600, 19400), 3: (600, 19400), 4: (600, 19400), 5: (600, 19400), 6: (200, 19800), 7: (400, 19600), 8: (200, 19800), 9: (200, 19800)}, 'bandwidth': {0: (4.433333333333334, 4.433333333333334), 1: (4.133333333333334, 4.133333333333334), 2: (3.3666666666666667, 3.3666666666666667), 3: (1.4383333333333335, 1.4383333333333335), 4: (4.183333333333334, 4.183333333333334), 5: (2.983333333333333, 2.983333333333333), 6: (4.283333333333333, 4.283333333333333), 7: (3.1666666666666665, 3.1666666666666665), 8: (3.716666666666667, 3.716666666666667), 9: (3.283333333333333, 3.283333333333333)}, 'input_size': 1000}",,7.357336277019854,4.0
