state,Edge Device,Latency,Edge_Device
"{'PR': {0: 1, 1: 1, 2: 10, 3: 5, 4: 1, 5: 4, 6: 8, 7: 10, 8: 8, 9: 2}, 'memories': {0: (400, 19600), 1: (200, 19800), 2: (600, 19400), 3: (400, 19600), 4: (600, 19400), 5: (600, 19400), 6: (400, 19600), 7: (400, 19600), 8: (600, 19400), 9: (600, 19400)}, 'bandwidth': {0: (4.8, 4.8), 1: (5.279999999999999, 5.279999999999999), 2: (3.9, 3.9), 3: (4.5600000000000005, 4.5600000000000005), 4: (2.96, 2.96), 5: (3.72, 3.72), 6: (5.12, 5.12), 7: (4.4799999999999995, 4.4799999999999995), 8: (4.96, 4.96), 9: (4.9399999999999995, 4.9399999999999995)}, 'input_size': 1000}",,8.698777616882893,0.0
"{'PR': {0: 8, 1: 10, 2: 10, 3: 6, 4: 1, 5: 8, 6: 9, 7: 3, 8: 4, 9: 2}, 'memories': {0: (600, 19400), 1: (600, 19400), 2: (400, 19600), 3: (200, 19800), 4: (600, 19400), 5: (600, 19400), 6: (200, 19800), 7: (600, 19400), 8: (600, 19400), 9: (200, 19800)}, 'bandwidth': {0: (2.9499999999999997, 2.9499999999999997), 1: (2.9499999999999997, 2.9499999999999997), 2: (4.166666666666667, 4.166666666666667), 3: (2.8333333333333335, 2.8333333333333335), 4: (4.3, 4.3), 5: (3.8000000000000003, 3.8000000000000003), 6: (4.166666666666667, 4.166666666666667), 7: (4.433333333333334, 4.433333333333334), 8: (3.9, 3.9), 9: (4.1000000000000005, 4.1000000000000005)}, 'input_size': 900}",,43.16380695146253,9.0
"{'PR': {0: 10, 1: 5, 2: 2, 3: 4, 4: 6, 5: 3, 6: 10, 7: 9, 8: 3, 9: 5}, 'memories': {0: (600, 19400), 1: (600, 19400), 2: (400, 19600), 3: (400, 19600), 4: (400, 19600), 5: (400, 19600), 6: (200, 19800), 7: (200, 19800), 8: (400, 19600), 9: (200, 19800)}, 'bandwidth': {0: (3.685714285714286, 3.685714285714286), 1: (3.2285714285714286, 3.2285714285714286), 2: (3.6571428571428575, 3.6571428571428575), 3: (2.6571428571428575, 2.6571428571428575), 4: (2.4285714285714284, 2.4285714285714284), 5: (3.4285714285714284, 3.4285714285714284), 6: (3.057142857142857, 3.057142857142857), 7: (2.9285714285714284, 2.9285714285714284), 8: (3.542857142857143, 3.542857142857143), 9: (3.6285714285714286, 3.6285714285714286)}, 'input_size': 900}",,16.69865329511255,1.0
"{'PR': {0: 7, 1: 5, 2: 6, 3: 6, 4: 8, 5: 7, 6: 3, 7: 9, 8: 2, 9: 1}, 'memories': {0: (400, 19600), 1: (600, 19400), 2: (400, 19600), 3: (600, 19400), 4: (200, 19800), 5: (400, 19600), 6: (400, 19600), 7: (400, 19600), 8: (400, 19600), 9: (600, 19400)}, 'bandwidth': {0: (3.0666666666666664, 3.0666666666666664), 1: (4.333333333333333, 4.333333333333333), 2: (3.9, 3.9), 3: (2.466666666666667, 2.466666666666667), 4: (4.25, 4.25), 5: (3.4166666666666665, 3.4166666666666665), 6: (4.066666666666666, 4.066666666666666), 7: (2.433333333333333, 2.433333333333333), 8: (2.25, 2.25), 9: (4.066666666666666, 4.066666666666666)}, 'input_size': 1100}",,19.161923252390977,9.0
"{'PR': {0: 7, 1: 7, 2: 5, 3: 9, 4: 6, 5: 7, 6: 2, 7: 7, 8: 3, 9: 10}, 'memories': {0: (600, 19400), 1: (600, 19400), 2: (200, 19800), 3: (600, 19400), 4: (400, 19600), 5: (600, 19400), 6: (400, 19600), 7: (200, 19800), 8: (200, 19800), 9: (600, 19400)}, 'bandwidth': {0: (3.05, 3.05), 1: (2.6375, 2.6375), 2: (3.225, 3.225), 3: (2.4125, 2.4125), 4: (1.07875, 1.07875), 5: (2.175, 2.175), 6: (3.0, 3.0), 7: (3.1625, 3.1625), 8: (3.25, 3.25), 9: (3.25, 3.25)}, 'input_size': 900}",,14.035383290434567,8.0
"{'PR': {0: 3, 1: 8, 2: 9, 3: 7, 4: 7, 5: 3, 6: 3, 7: 6, 8: 5, 9: 2}, 'memories': {0: (600, 19400), 1: (600, 19400), 2: (400, 19600), 3: (600, 19400), 4: (200, 19800), 5: (200, 19800), 6: (400, 19600), 7: (400, 19600), 8: (400, 19600), 9: (200, 19800)}, 'bandwidth': {0: (2.6625, 2.6625), 1: (3.2375, 3.2375), 2: (2.9125, 2.9125), 3: (1.85, 1.85), 4: (2.85, 2.85), 5: (3.1625, 3.1625), 6: (3.3125, 3.3125), 7: (2.4625, 2.4625), 8: (3.1625, 3.1625), 9: (3.15, 3.15)}, 'input_size': 1000}",,18.03657318838532,8.0
"{'PR': {0: 6, 1: 8, 2: 10, 3: 2, 4: 3, 5: 7, 6: 1, 7: 9, 8: 10, 9: 9}, 'memories': {0: (400, 19600), 1: (400, 19600), 2: (400, 19600), 3: (200, 19800), 4: (600, 19400), 5: (600, 19400), 6: (200, 19800), 7: (600, 19400), 8: (400, 19600), 9: (600, 19400)}, 'bandwidth': {0: (4.1000000000000005, 4.1000000000000005), 1: (3.5, 3.5), 2: (2.983333333333333, 2.983333333333333), 3: (2.25, 2.25), 4: (4.266666666666667, 4.266666666666667), 5: (4.333333333333333, 4.333333333333333), 6: (3.8000000000000003, 3.8000000000000003), 7: (3.0, 3.0), 8: (4.416666666666667, 4.416666666666667), 9: (4.283333333333333, 4.283333333333333)}, 'input_size': 1000}",,10.697179982458294,3.0
"{'PR': {0: 9, 1: 5, 2: 1, 3: 1, 4: 10, 5: 2, 6: 5, 7: 1, 8: 1, 9: 1}, 'memories': {0: (600, 19400), 1: (400, 19600), 2: (200, 19800), 3: (200, 19800), 4: (200, 19800), 5: (200, 19800), 6: (400, 19600), 7: (200, 19800), 8: (200, 19800), 9: (400, 19600)}, 'bandwidth': {0: (3.025, 3.025), 1: (4.35, 4.35), 2: (4.65, 4.65), 3: (5.35, 5.35), 4: (4.475, 4.475), 5: (6.375, 6.375), 6: (5.975, 5.975), 7: (6.175, 6.175), 8: (5.95, 5.95), 9: (5.275, 5.275)}, 'input_size': 900}",,8.6989231944399,3.0
"{'PR': {0: 10, 1: 4, 2: 3, 3: 2, 4: 1, 5: 6, 6: 4, 7: 7, 8: 6, 9: 4}, 'memories': {0: (200, 19800), 1: (200, 19800), 2: (400, 19600), 3: (200, 19800), 4: (400, 19600), 5: (200, 19800), 6: (400, 19600), 7: (400, 19600), 8: (600, 19400), 9: (400, 19600)}, 'bandwidth': {0: (17.7, 17.7), 1: (14.8, 14.8), 2: (25.8, 25.8), 3: (25.4, 25.4), 4: (26.0, 26.0), 5: (25.7, 25.7), 6: (24.0, 24.0), 7: (23.7, 23.7), 8: (26.0, 26.0), 9: (23.5, 23.5)}, 'input_size': 1100}",,28.037299168260773,0.0
"{'PR': {0: 4, 1: 8, 2: 4, 3: 6, 4: 6, 5: 8, 6: 9, 7: 6, 8: 6, 9: 1}, 'memories': {0: (200, 19800), 1: (200, 19800), 2: (200, 19800), 3: (200, 19800), 4: (400, 19600), 5: (400, 19600), 6: (600, 19400), 7: (400, 19600), 8: (200, 19800), 9: (200, 19800)}, 'bandwidth': {0: (4.3, 4.3), 1: (4.216666666666667, 4.216666666666667), 2: (3.6999999999999997, 3.6999999999999997), 3: (4.233333333333333, 4.233333333333333), 4: (4.216666666666667, 4.216666666666667), 5: (2.466666666666667, 2.466666666666667), 6: (4.066666666666666, 4.066666666666666), 7: (3.483333333333333, 3.483333333333333), 8: (3.216666666666667, 3.216666666666667), 9: (4.316666666666666, 4.316666666666666)}, 'input_size': 900}",,43.16363700972076,9.0
