Device,Time,Packet size,Bandwidth
1.0,2.0,2.0,5.26
1.0,2.0,4.0,5.48
1.0,2.0,6.0,5.4
1.0,2.0,8.0,4.63
1.0,2.0,4.28,17.9
1.0,2.0,4.81,20.2
1.0,2.0,6.0,25.2
1.0,2.0,5.74,24.1
1.0,2.0,5.79,24.3
1.0,2.0,5.69,23.9
1.0,2.0,5.53,23.2
1.0,2.0,5.92,24.8
1.0,2.0,5.45,22.8
1.0,2.0,5.56,23.3
1.0,2.0,5.93,24.9
1.0,2.0,6.12,25.7
1.0,2.0,5.82,24.4
1.0,2.0,5.39,22.6
1.0,2.0,3.97,16.6
1.0,2.0,4.73,19.8
1.0,2.0,4.73,19.8
1.0,2.0,5.86,24.6
1.0,2.0,5.8,24.3
1.0,2.0,5.1,21.4
1.0,2.0,4.19,17.6
1.0,2.0,4.47,18.8
1.0,2.0,5.56,23.3
1.0,2.0,5.34,22.4
1.0,2.0,5.51,23.1
1.0,2.0,5.01,21.0
1.0,2.0,4.38,18.4
1.0,2.0,4.75,19.9
1.0,2.0,3.53,14.8
1.0,2.0,3.39,14.2
1.0,2.0,3.21,13.5
1.0,2.0,4.26,17.9
1.0,2.0,4.21,17.7
1.0,2.0,5.21,21.9
1.0,2.0,4.29,18.0
1.0,2.0,2.69,11.3
1.0,2.0,2.06,8.63
1.0,2.0,5.57,23.4
1.0,2.0,4.53,19.0
1.0,2.0,5.1,21.4
1.0,2.0,4.95,20.8
1.0,2.0,4.23,17.7
1.0,2.0,4.3,18.0
1.0,2.0,4.22,17.7
1.0,2.0,4.41,18.5
1.0,2.0,3.32,13.9
1.0,2.0,2.57,10.8
1.0,2.0,4.89,20.5
1.0,2.0,5.32,22.3
1.0,2.0,4.04,17.0
1.0,2.0,4.89,20.5
1.0,2.0,4.59,19.3
1.0,2.0,5.51,23.1
1.0,2.0,3.95,16.6
1.0,2.0,3.53,14.8
1.0,2.0,3.22,13.5
1.0,2.0,2.89,12.1
1.0,2.0,3.32,13.9
1.0,2.0,5.3,22.2
1.0,2.0,4.42,18.5
1.0,2.0,5.43,22.8
1.0,2.0,4.86,20.4
1.0,2.0,5.6,23.5
1.0,2.0,4.42,18.6
1.0,2.0,5.1,21.4
1.0,2.0,4.64,19.5
1.0,2.0,5.71,24.0
1.0,2.0,5.09,21.4
1.0,2.0,5.84,24.5
1.0,2.0,4.6,19.3
1.0,2.0,5.43,22.8
1.0,2.0,6.2,26.0
1.0,2.0,3.95,16.6
1.0,2.0,4.16,17.4
1.0,2.0,3.54,14.8
1.0,2.0,6.15,25.8
1.0,2.0,5.08,21.3
1.0,2.0,6.06,25.4
1.0,2.0,5.03,21.1
1.0,2.0,5.43,22.8
1.0,2.0,4.89,20.5
1.0,2.0,6.03,25.3
1.0,2.0,4.66,19.6
1.0,2.0,3.49,14.6
1.0,2.0,3.49,14.6
1.0,2.0,6.15,25.8
1.0,2.0,4.75,19.9
1.0,2.0,5.6,23.5
1.0,2.0,4.45,18.7
1.0,2.0,4.81,20.2
1.0,2.0,4.98,20.9
1.0,2.0,5.82,24.4
1.0,2.0,4.99,20.9
1.0,2.0,5.6,23.5
1.0,2.0,5.0,21.0
1.0,2.0,5.92,24.8
1.0,2.0,5.99,25.1
1.0,2.0,5.81,24.4
1.0,2.0,6.05,25.4
1.0,2.0,6.19,26.0
1.0,2.0,5.72,24.0
1.0,2.0,6.1,25.6
1.0,2.0,6.35,26.6
1.0,2.0,5.59,23.4
1.0,2.0,5.87,24.6
1.0,2.0,4.63,19.4
1.0,2.0,6.11,25.6
1.0,2.0,5.95,25.0
1.0,2.0,6.03,25.3
1.0,2.0,6.19,26.0
1.0,2.0,6.07,25.5
1.0,2.0,6.24,26.2
1.0,2.0,6.12,25.7
1.0,2.0,6.19,26.0
1.0,2.0,6.25,26.2
1.0,2.0,4.98,20.9
1.0,2.0,4.56,19.1
1.0,2.0,4.71,19.7
1.0,2.0,5.68,23.8
1.0,2.0,6.21,26.0
1.0,2.0,5.77,24.2
1.0,2.0,6.1,25.6
1.0,2.0,6.12,25.7
1.0,2.0,6.17,25.9
1.0,2.0,6.28,26.4
1.0,2.0,6.13,25.7
1.0,2.0,6.06,25.4
1.0,2.0,6.19,26.0
1.0,2.0,6.09,25.5
1.0,2.0,5.97,25.0
1.0,2.0,5.73,24.0
1.0,2.0,5.69,23.9
1.0,2.0,5.87,24.6
1.0,2.0,6.01,25.2
1.0,2.0,5.39,22.6
1.0,2.0,5.35,22.5
1.0,2.0,5.78,24.2
1.0,2.0,6.04,25.3
1.0,2.0,6.26,26.3
1.0,2.0,6.02,25.2
1.0,2.0,6.19,26.0
1.0,2.0,6.08,25.5
1.0,2.0,6.06,25.4
1.0,2.0,6.08,25.5
1.0,2.0,6.2,26.0
1.0,2.0,6.31,26.5
1.0,2.0,6.05,25.4
1.0,2.0,5.66,23.7
1.0,2.0,5.72,24.0
1.0,2.0,5.89,24.7
1.0,2.0,5.96,25.0
1.0,2.0,6.09,25.6
1.0,2.0,6.25,26.2
1.0,2.0,5.95,25.0
1.0,2.0,6.0,25.2
1.0,2.0,5.18,21.7
1.0,2.0,4.88,20.5
1.0,2.0,4.9,20.6
1.0,2.0,5.77,24.2
1.0,2.0,5.92,24.8
1.0,2.0,6.12,25.7
1.0,2.0,6.04,25.3
1.0,2.0,5.97,25.1
1.0,2.0,6.12,25.7
1.0,2.0,6.23,26.1
1.0,2.0,6.19,26.0
1.0,2.0,6.08,25.5
1.0,2.0,6.03,25.3
1.0,2.0,5.87,24.6
1.0,2.0,6.1,25.6
1.0,2.0,6.15,25.8
1.0,2.0,6.11,25.6
1.0,2.0,6.06,25.4
1.0,2.0,6.16,25.8
1.0,2.0,6.09,25.5
1.0,2.0,5.27,22.1
1.0,2.0,5.89,24.7
1.0,2.0,4.53,19.0
1.0,2.0,5.05,21.2
